,id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
16708,770404271,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie do wynajęcia Grudziądz, Nowy Rządz, 52m2",1000.0,PLN,1,yes,blok,52,two,650
16709,768944308,Inowrocław,inowroclaw,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajme mieszkanie,1500.0,PLN,2,yes,blok,45,two,450
16710,735144297,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie,650.0,PLN,3,no,kamienica,51,two,270
16711,693178529,Brodnica,brodnica,,Kujawsko-pomorskie,kujawsko-pomorskie,"70 m.kw. w Brodnicy, nowa kuchnia, częściowo umeblowane, duży taras",1400.0,PLN,Parter,yes,blok,70,three,560
16712,768935668,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Kawalerka do wynajęcia,1200.0,PLN,3,yes,blok,25,one,150
16713,691078649,Włocławek,wloclawek,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie,1200.0,PLN,3,yes,blok,40,two,1
16714,768927349,Włocławek,wloclawek,,Kujawsko-pomorskie,kujawsko-pomorskie,Przestronne Mieszkanie po generalnym remoncie,1800.0,PLN,Parter,yes,blok,59,two,600
16715,765845705,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Ładne,Rondo grunwaldzkie,odrestaurowany budyne,ładne m o pow.38m2.,2p.",1500.0,PLN,2,yes,pozostale,39,two,1
16716,768917685,Szubin,szubin,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajem mieszkania Szubin,900.0,PLN,Parter,no,kamienica,59,three,600
16717,762297924,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie trzypokojowe Na Skarpie!,1600.0,PLN,8,yes,blok,49,three,380
16718,768908802,Świecie,swiecie,,Kujawsko-pomorskie,kujawsko-pomorskie,mieszkanie 37m Świecie 2 POKOJE ŚWIEŻO PO REMONCIE,1050.0,PLN,4,no,blok,37,two,400
16719,769819120,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Kawalerka blisko centrum miasta, I piętro",1100.0,PLN,1,yes,kamienica,30,one,650
16720,770440681,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajem mieszkania parter,1500.0,PLN,Parter,yes,blok,50,two,500
16721,770332015,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"M3 po remoncie, umeblowane, wyposażone -Kapuściska",1800.0,PLN,4,yes,blok,38.6,two,320
16722,768905018,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,2 pokojowe przy ul. Dworcowej,2700.0,PLN,2,yes,blok,45,two,1000
16723,768904541,Nakło nad Notecią,naklo-nad-notecia,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie 2-pokoje centrum Nakła parter blok Krzywoustego 38m wynajmę,1100.0,PLN,Parter,yes,blok,38,two,400
16724,768901096,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,"Toruń, Koniuchy, 44m2, 2 Pokoje, II piętro, Balkon",1500.0,PLN,2,yes,blok,44,two,460
16725,768899041,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie 2 pokoje, Szwederowo, do wynajęcia",1200.0,PLN,5,yes,blok,48,two,220
16726,765398451,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Do wynajęcia atrakcyjne M-3 z garażem, blisko szpitala im. Jurasza",1700.0,PLN,Parter,yes,apartamentowiec,50,two,1
16727,768881375,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,"ul. Żwirki i Wigury, 2-pokojowe, I piętro",1400.0,PLN,1,yes,blok,49,two,1
16728,768880363,Włocławek,wloclawek,,Kujawsko-pomorskie,kujawsko-pomorskie,Kawalerka do wynajęcia,800.0,PLN,2,yes,blok,27.11,one,500
16729,762522024,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie 89 m2 osiedle Przy Lesie Toruń,3200.0,PLN,1,yes,blok,89.41,three,450
16730,768875523,Włocławek,wloclawek,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie do wynajęcia,1000.0,PLN,1,yes,blok,50,two,1
